Sentence,Error Type,Corrected Sentence
அவர்கள் பள்ளிக்கு சாப்பிடுவாள்.,Spelling Error,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
நாம் பாடத்தை படிக்கிறார்கள்.,Subject-Verb Agreement,நாம் பாடத்தை செல்வேன்.
அவன் பள்ளிக்கு சாப்பிடுவாள்.,Spelling Error,அவன் பள்ளிக்கு விளையாடுகிறோம்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
நான் புத்தகத்தை விளையாடுகிறான்.,Subject-Verb Agreement,நான் புத்தகத்தை படிக்கிறான்.
அவள் வீட்டில் படிக்கிறாள்.,No Error,அவள் வீட்டில் படிக்கிறாள்.
பார்வதி பழத்தை செல்கிறான்.,Spelling Error,பார்வதி பழத்தை விளையாடுகிறோம்.
பார்வதி பந்து படிக்கிறான்.,No Error,பார்வதி பந்து படிக்கிறான்.
பார்வதி பள்ளிக்கு சாப்பிடுகிறான்.,No Error,பார்வதி பள்ளிக்கு சாப்பிடுகிறான்.
அவர்கள் பாடத்தை செல்வேன்.,No Error,அவர்கள் பாடத்தை செல்வேன்.
பார்வதி பள்ளிக்கு சாப்பிடுகிறாள்.,Spelling Error,பார்வதி பள்ளிக்கு செல்வேன்.
நான் பந்து செல்கிறான்.,Spelling Error,நான் பந்து படிக்கிறான்.
அவர்கள் பாடத்தை படிக்கிறார்கள்.,Habitual Case,அவர்கள் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பாடத்தை சாப்பிடுகிறாள்.,Verb Tense,பார்வதி பாடத்தை படிக்கிறான்.
அவள் புத்தகத்தை செல்கிறான்.,Spelling Error,அவள் புத்தகத்தை செல்வேன்.
அவன் பாடத்தை சாப்பிடுகிறான்.,No Error,அவன் பாடத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை படிக்கிறார்கள்.,Habitual Case,நாம் பாடத்தை படிக்கிறான்.
பார்வதி பந்து செல்கிறான்.,Subject-Verb Agreement,பார்வதி பந்து சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை செல்கிறான்.,Spelling Error,பார்வதி புத்தகத்தை செல்வேன்.
நாம் புத்தகத்தை படிக்கிறார்கள்.,Spelling Error,நாம் புத்தகத்தை படிக்கிறாள்.
அவள் பாடத்தை செல்வேன்.,No Error,அவள் பாடத்தை செல்வேன்.
அவள் பந்து விளையாடுகிறான்.,Verb Tense,அவள் பந்து படிக்கிறாள்.
பார்வதி பள்ளிக்கு படிக்கிறான்.,No Error,பார்வதி பள்ளிக்கு படிக்கிறான்.
அவர்கள் பந்து சாப்பிடுகிறான்.,No Error,அவர்கள் பந்து சாப்பிடுகிறான்.
நான் புத்தகத்தை விளையாடுகிறான்.,Habitual Case,நான் புத்தகத்தை சாப்பிடுகிறான்.
நாம் புத்தகத்தை செல்வேன்.,No Error,நாம் புத்தகத்தை செல்வேன்.
அவர்கள் பாடத்தை செல்வேன்.,No Error,அவர்கள் பாடத்தை செல்வேன்.
அவள் பாடத்தை சாப்பிடுகிறாள்.,Spelling Error,அவள் பாடத்தை விளையாடுகிறோம்.
நாம் வீட்டில் சாப்பிடுவாள்.,Spelling Error,நாம் வீட்டில் படிக்கிறாள்.
பார்வதி பாடத்தை சாப்பிடுகிறான்.,No Error,பார்வதி பாடத்தை சாப்பிடுகிறான்.
நாம் பழத்தை விளையாடுகிறான்.,Subject-Verb Agreement,நாம் பழத்தை சாப்பிடுகிறான்.
நாம் பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,நாம் பள்ளிக்கு படிக்கிறாள்.
அவன் பந்து செல்வேன்.,No Error,அவன் பந்து செல்வேன்.
அவள் பள்ளிக்கு விளையாடுகிறான்.,Subject-Verb Agreement,அவள் பள்ளிக்கு படிக்கிறான்.
நாம் வீட்டில் படிக்கிறாள்.,No Error,நாம் வீட்டில் படிக்கிறாள்.
பார்வதி புத்தகத்தை செல்வேன்.,No Error,பார்வதி புத்தகத்தை செல்வேன்.
அவள் புத்தகத்தை படிக்கிறார்கள்.,Verb Tense,அவள் புத்தகத்தை படிக்கிறாள்.
அவன் பாடத்தை படிக்கிறான்.,No Error,அவன் பாடத்தை படிக்கிறான்.
நாம் பள்ளிக்கு செல்கிறான்.,Subject-Verb Agreement,நாம் பள்ளிக்கு படிக்கிறான்.
அவன் பந்து செல்வேன்.,No Error,அவன் பந்து செல்வேன்.
பார்வதி பள்ளிக்கு செல்வேன்.,No Error,பார்வதி பள்ளிக்கு செல்வேன்.
பார்வதி பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,பார்வதி பள்ளிக்கு படிக்கிறான்.
அவள் புத்தகத்தை படிக்கிறார்கள்.,Habitual Case,அவள் புத்தகத்தை சாப்பிடுகிறான்.
அவன் வீட்டில் சாப்பிடுவாள்.,Spelling Error,அவன் வீட்டில் சாப்பிடுகிறான்.
நாம் பழத்தை சாப்பிடுகிறாள்.,Verb Tense,நாம் பழத்தை படிக்கிறான்.
அவர்கள் வீட்டில் செல்வேன்.,No Error,அவர்கள் வீட்டில் செல்வேன்.
அவன் புத்தகத்தை செல்வேன்.,No Error,அவன் புத்தகத்தை செல்வேன்.
அவன் புத்தகத்தை விளையாடுகிறோம்.,No Error,அவன் புத்தகத்தை விளையாடுகிறோம்.
அவள் பாடத்தை படிக்கிறாள்.,No Error,அவள் பாடத்தை படிக்கிறாள்.
அவன் வீட்டில் விளையாடுகிறோம்.,No Error,அவன் வீட்டில் விளையாடுகிறோம்.
அவன் பாடத்தை சாப்பிடுவாள்.,Verb Tense,அவன் பாடத்தை செல்வேன்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நாம் புத்தகத்தை செல்வேன்.,No Error,நாம் புத்தகத்தை செல்வேன்.
பார்வதி பழத்தை படிக்கிறார்கள்.,Habitual Case,பார்வதி பழத்தை செல்வேன்.
பார்வதி வீட்டில் படிக்கிறாள்.,No Error,பார்வதி வீட்டில் படிக்கிறாள்.
நாம் பாடத்தை படிக்கிறார்கள்.,Subject-Verb Agreement,நாம் பாடத்தை படிக்கிறாள்.
